from_date,item_description,purshase_price,selling_price,quantity
19-Feb,QUINOA SEEDS,89.963,119.95,3.333
19-Feb,ETOILE HALWA MOLOD 49,206.053,270,22
19-Feb,CHEESA FLAVOR EDAM,78.65,85.95,4.912
19-Feb,FILLET GROUPER,130,199.95,0.917
19-Feb,FRGLO FRY BF LNCHON,16,19.95,0.826
19-Feb,DEFR. SHRIMP 80-120,95,100,44.252
19-Feb,FRIED CHICKEN WINGS/KG,30.9,46.45,0.861
19-Feb,MERAI BEEF PRESSED,180,204.95,0.759
19-Feb,WHITING FISH,70,84.95,6.74
19-Feb,A- GARLIC BALADY WHITE,13,17.75,9.343
19-Feb,A-LEMON BALADY NET,12.35,14.95,21.374
19-Feb,AVANTI SMOKED CHEDDAR,86,98.95,0.879
19-Feb,BAL BEEF FOUNDO,126.19,149.95,0.329
19-Feb,PANE SPICES,26.213,34.95,19.819
19-Feb,BREAD TRAD PER KG,8.033,24.95,0.967
19-Feb,OLIVETTA SPANISH,39.015,54.95,1.079
19-Feb,SHISHTAHOOK SANDWICH,12.8,29,1
19-Feb,BROAD BEAN,9.75,11.75,27.186
19-Feb,SABEEL FILLET 500GR,46.75,54.95,67
19-Feb,ROAST CHICKEN DRUMSTICKS/KG,64.8,91.75,9.767
19-Feb,IM BEEF STROGANOFF,107,136.95,3.096
19-Feb,PASTS SPICES,56.213,74.95,2.318
19-Feb,CUCUMBER 1KG,13.45,14.95,10
19-Feb,MEDIUM FINO X10,5.533,10,284.295
19-Feb,PETIT CAKE 2,11.506,19.95,16
19-Feb,SMOKED CHICKEN BREAST ZINGAR SPICY,130,150.95,1.575
19-Feb,GORGONZOLA,385,484.95,0.177
19-Feb,BEET RED,6.4,7.95,88.191
19-Feb,PACKET BATON SALE SESAME SMALL,11.319,14.95,14
19-Feb,OLIVETTA KLAMATA OLIVE BABY,60.315,84.95,6.736
19-Feb,MULLET OIL AND LEMON/KG,79.5,102.95,0.83
19-Feb,SHAHD WHOLE CHICKEN 1000-950,50.7,59.95,11
19-Feb,ONION RED 5KG,37.5,39.95,7
19-Feb,HALWANI CHCKEN SMOKED,132,159.95,0.145
19-Feb,OSTRICH LUNCHEON WITH OLIVE,57,74.95,0.756
19-Feb,ORANGE FOR JUICE 6.5KG,21.75,24.95,27
19-Feb,CHEESE CAKE CHERRY/PIC,13.49,20,4
19-Feb,ABA CHINESE CRACKERS,119.963,159.95,0.689
19-Feb,ALEX LIVER/KG,62.6,91.75,7.984
19-Feb,CHINESE CRACKERS PEPPER 1 KG,105.23,159.95,0.109
19-Feb,BAL LAMB OFFALS,129.72,169.95,0.71
19-Feb,DEFROSTED CLEAN SHRIMPS 50-70,146,169.95,0.543
19-Feb,A-CAPSICUM BALADY,11.45,13.95,76.793
19-Feb,SMOKED CHICKEN BREAST BLUE CHEESE,130,150.95,0.991
19-Feb,WHOLE CHICKEN TANDOORY,52,57.95,3.156
19-Feb,JANA POTATOES ORGANIC 1K,19.5,20,2
19-Feb,ORIENTAL SALAD,2.792,6.95,10
19-Feb,ABA FRICK,13.463,17.95,14.56
19-Feb,HALWANI COOKED CHICKEN,121,137.95,14.221
19-Feb,SHAHD CHICKEN WINGS,38,44.95,6
19-Feb,ETOILE HALWA MOLOD 65,297.632,390,12
19-Feb,FALAFEL SANDWICH,1.3,3,84
19-Feb,CHICKEN PANE SANDWICH,10.8,26,16
19-Feb,IM BEEF ENTRECOTE,104,144.95,44.817
19-Feb,CLAMS,35,39.95,34.922
19-Feb,OLIVETTA SLICED G,41.855,58.95,16.788
19-Feb,N.CHEESE PATE,4.65,6.75,66.479
19-Feb,HALAWA PEANUTS,37,44.95,30.083
19-Feb,HEALTHY BISCUIT,16.5,24.95,9
19-Feb,A-RAISIN WHITE,43,59.95,33.193
19-Feb,PACKET MENIN AJWA LARGE,16.459,21,39
19-Feb,DATES MINCED 400 GM (B V C ),13,16.95,32
19-Feb,RED CHEDDAR 10364,161,184.95,6.94
19-Feb,A- CLEMENTINE,5,4,89.479
19-Feb,MAHLABIA,5.83,12.95,7
19-Feb,KOKI CHICKEN DRUMSTICKS 1KG,47.3,55.95,7
19-Feb,ABA POWDER ONION,33.713,44.95,20.83
19-Feb,OLIVETTA PITTED,41.855,58.95,7.535
19-Feb,MAFA CHIVES,3,4.95,12
19-Feb,MEAL CARREFOUR 3,15.68,25.95,44
19-Feb,APPLE GOLDEN PACKED 1KG,19.5,24.95,1.975
19-Feb,BEEF SAUSAGE,80,89.95,85.368
19-Feb,BAL LAMB STEW,119,134.95,1.282
19-Feb,ABA PECAN RAW,476.941,724.95,0.689
19-Feb,KOFTA SANDWISH,9.25,20,32
19-Feb,SPRING ONION 125GR,0.95,1.45,96
19-Feb,CAREY,41.213,54.95,17.664
19-Feb,COKE 300 ML,1.825,5,79
19-Feb,CARROT RED,3,3.95,4.166
19-Feb,RUSSIAN SALAD,3.004,6.95,18
19-Feb,DEFR. SHRIMP 30/40,178,199.95,4.943
19-Feb,N.TOAST WHITE 500GR,8.75,13.95,72
19-Feb,ISIS CUCUMBER FOAM 900GR,21.5,27.95,33
19-Feb,RADISH WHITE,6.6,7.45,26.368
19-Feb,BAL LAMB RIBS,139.87,169.95,0.246
19-Feb,CREAM WHITE CHEESE,42,49.95,15.975
19-Feb,KAIZER PLAIN X10,6.254,13.95,146
19-Feb,SABEEL DRUMSTICK 1KG,51.25,60.95,38
19-Feb,PARSLEY100 GR,2.45,2.75,32
19-Feb,MOUSHABEK BY KG,28,39.95,36
19-Feb,AVANTI CUMIN CHEDDAR,86,98.95,0.427
19-Feb,KIDNEY BEANS SAMO,22.463,29.95,12.971
19-Feb,ISIS DATE W-ALMOND 500GR,58,73.95,10
19-Feb,CHOCOLATE MIXED PLAIN,54,89.95,2.958
19-Feb,FLAN TART LARGE,20.003,46.45,2
19-Feb,SHAHD WHOLE CHICKEN 900-850,45.5,53.95,18
19-Feb,FOURNIL BREAD X1,1.507,2.5,950
19-Feb,A-POTATO FOR FRYING,8.8,10.95,894.012
19-Feb,ABA ROASTED CASHEWS( LARGE ),309.178,469.95,10.392
19-Feb,SHISH TAWOOK/KG,122,171.95,14.716
19-Feb,A- XP CANTALOUPE,6,8.75,0.368
19-Feb,SMALL TILAPIA(5-6PC/K),24,29.95,58.425
19-Feb,IMPORT GRILL TRKEY ROLL,115,154.95,0.125
19-Feb,CABBAGE CHINESE,3,3.45,25
19-Feb,IM BEEF TOPSIDE,107,142.95,32.615
19-Feb,A-APPLE EUROPE,17.75,17.95,511.145
19-Feb,HALAWA ALMOUND,53,64.95,14.759
19-Feb,MANGO ASNAF,77,79.95,10.179
19-Feb,BALADY FULL CREAM,49,59.95,16.325
19-Feb,N.CHEESE PATE MINI,85,119.95,3.228
19-Feb,ATYAB SALAMY BEEF,115,136.95,0.109
19-Feb,SUPREME MIX,361.809,549.95,2.745
19-Feb,CHICKEN IN SAUCE/KG,90.4,129.95,0.422
19-Feb,STRAWBERRY 750GR,10,12.95,195
19-Feb,RICH LUNCHEON CHICKEN/OLIVES,80,95.95,7.205
19-Feb,RICH COOKED CHICKEN,130,153.95,13.055
19-Feb,YOGURT SALAD,3.82,6.95,19
19-Feb,MULLET SINGARI/KG,80.5,102.95,1.784
19-Feb,PAPRIKA SAMO,55.23,83.95,21.31
19-Feb,ALEX LIVER SANDWICH,6.1,15,80
19-Feb,SHAHD DRUMSTICK 1KG 052,59,69.95,45
19-Feb,SABEEL LIVER 1KG,54,59.95,64
19-Feb,FORZEN WHOLE SALMON,215,259.95,3.315
19-Feb,SMALL MOUSSE CAKE,9.177,14.95,70
19-Feb,KIRI FLAVOR BASTERMA,37,43.95,25.678
19-Feb,GOUDA CHEESE 14038,135,124.95,18.085
19-Feb,CHIA SEEDS,97.463,129.95,7.745
19-Feb,N.CHOCOLATE PATE MINI,95,134.95,3.965
19-Feb,GRILL FISH/KG,3.5,6,7.508
19-Feb,HALWANI SALAMI BEEF,110,126.95,8.805
19-Feb,GRIND NUTMEG,371.963,495.95,2.888
19-Feb,PIZZA TUNA HALF COOK,19.95,29.95,3
19-Feb,KIRI CHEESE EQFORD,48,56.95,25.14
19-Feb,EMNTAL FRENCH CHEESE,184,224.95,13.298
19-Feb,CHICKEN PANEE/KG,95.3,137.95,4.888
19-Feb,SABEEL LIVER 500GR,28,32.95,41
19-Feb,DARK COCO ABA,52.599,79.95,22.109
19-Feb,CURCUMA,35.963,47.95,31.962
19-Feb,ORANGE JUICE 3KG,9.1,9.95,67
19-Feb,PIZZA VEGETABLES HALF COOK,15.467,19.95,1
19-Feb,STRAWBERRY MOUSSE/PIC,5.6,12,1
19-Feb,BOUSOUMAT BLK SEEDS,11.75,39.95,13.555
19-Feb,EGYPTIAN CHEDDAR,24.63,29.95,26.81
19-Feb,N.LONG FINO,1.1,1.5,3130
19-Feb,KOKI CHICKEN LEG 1KG,42.9,48.95,10
19-Feb,SHAHD BREAST BONE IN,58.5,64.95,880
19-Feb,DATES ROSHADIA KSA 400 GM,30,37.95,1
19-Feb,COCONUT THREADS,85.493,129.95,0.515
19-Feb,LOLOROSSA RED,4.5,4.95,34
19-Feb,A- APPLE GOLDEN( 60/65 )SMALL,18.5,18.95,257.526
19-Feb,DONUTS ASSORTED X5,9.755,25,577.152
19-Feb,OLIVETTA LEM SAFF,31.205,43.95,13.594
19-Feb,OLIVETTA BEYTI OLIVES,60.315,84.95,0.323
19-Feb,OLIVETTA NAT PEP,13.455,18.95,12.072
19-Feb,ABA PISTACHIO CHEESE FLAVOR,319.046,484.95,0.674
19-Feb,A-APPLE POLISH GALA,19,23.95,4.666
19-Feb,ABA ROASTED ALMONDS,269.737,410,3.436
19-Feb,MOUCHABEKE BY KG,15,46.45,1.03
19-Feb,ABA SMOKED ALMONDS,269.737,410,2.59
19-Feb,IM BEEF ESCALOPE,107,142.95,36.166
19-Feb,ABA WALNUT HALVES,276.283,419.95,9.425
19-Feb,BAL BEEF FILLET,150.13,177.95,2.617
19-Feb,RICE WITH MILK,6.04,15.25,57
19-Feb,SMALL GRILL CHICKEN,43,63.95,158
19-Feb,PETIT CAKE 6,32.569,54.95,11
19-Feb,COLE SLAW SALAD,3.156,6.95,114
19-Feb,ABA BLUEBERRIES,394.704,599.95,0.101
19-Feb,FARM-GOUDA CUMIN,104,124.95,4.904
19-Feb,BIG LOCALGROUPER 1-2 K/PC,75,124.95,2.362
19-Feb,RICH LUNCHEON/SHREDDED BEEF,90,104.95,15.906
19-Feb,CALIFORNIA PISTACHIOS,355.263,540,8.62
19-Feb,A-APPLE ROYAL GALA (SMALL),18.5,20,148.693
19-Feb,OM ALY,6.605,14.95,228
19-Feb,FRESH RED CALAMARI,115,129.95,8.133
19-Feb,CHEDDAR RED LOW FAT,175,224.95,0.658
19-Feb,OLIVETTACRA KALAM,85.165,119.95,6.243
19-Feb,ALMONDS BBQ FLAVOR,269.737,410,0.75
19-Feb,UKRANIN BUTTER-KG,39.5,51.95,196.746
19-Feb,FARM-GOUDA PLAIN,93,103.95,11.635
19-Feb,PACKET BATON SALE BLACK SEED,11.319,14.95,7
19-Feb,RED CHEDDAR,155,184.95,2.438
19-Feb,HALWANI PLAIN BF LNCHON,77.44,80,112.139
19-Feb,HALWANI BF ROAST SMOKED,193,219.95,2.548
19-Feb,BAL BEEF SHANK,125.66,157.95,16.177
19-Feb,DATES 1.400 KG (KARTON),65,81.95,3
19-Feb,COUNTRYSEEDS 400GR,5.8,11.95,1
19-Feb,SWISS OLIVE BF LNCHON,58.19,69.95,0.187
19-Feb,N.BAGUETTE,3.6,5.95,846.09
19-Feb,ORIENTAL SAUSAGE SANDWICH,6.9,15,17
19-Feb,PIZZA SLICE TUNA,8.65,17,1
19-Feb,N.PANINI BREAD,2.25,4.95,2
19-Feb,N.CROISSANT,4.1,5.95,583
19-Feb,ABA ROASTED PECAN,476.941,724.95,0.406
19-Feb,N.TOAST BROWN 500GR,9.4,13.95,15
19-Feb,SPINACH,9.4,7,13.363
19-Feb,SMALL MULLET FISH(4-5/PC),31,52.95,12.469
19-Feb,LARGE FETEER,6.153,10.95,10
19-Feb,SMOKED CHEESE NATURAL,150,184.95,5.791
19-Feb,BERMJANO REGANO CHEESE,411,489.95,5.889
19-Feb,N.CROISSANT MINI,69,99.95,5.578
19-Feb,SHAMI WHITE X5,2.25,4.95,131
19-Feb,BOUSOUMAT BROWN,8.852,39.95,0.985
19-Feb,PUMPKIN HALLOWEEN,7,11.95,21.27
19-Feb,KARISH CHEESE SANDWICH,1.92,4,278
19-Feb,DEFROSTED CLEAN SHRIMPS 30-40,182,209.95,2.812
19-Feb,GRIND JAMBO CARDAMOM 1 KG,412.463,549.95,2.326
19-Feb,CHAKALAMA BY KG,35,69.95,7.363
19-Feb,ABA POTATO SPICES,60,80,5.318
19-Feb,THYME BALADY 100GR,6.75,6.95,17
19-Feb,CHOCOLATE SWEET 10 PERSN,86.856,149.95,4
19-Feb,SWISS MEAT BF LNCHON,56.38,69.95,0.068
19-Feb,ROCKET ARUGULA100GR,4,4.95,2
19-Feb,SHAHD CHICKEN LEGS 1KG 052,51.75,57.95,1088
19-Feb,ABA TRAIL MIX,315.757,479.95,7.177
19-Feb,KIRI CHEESE BLCK SEED,43,50.95,40.595
19-Feb,LONG TRADITION 300GR,3.154,6.95,10
19-Feb,TEA WITH MILK,4.25,7,2
19-Feb,OLIVETTA LEM MIX,17.715,24.95,13.292
19-Feb,FARM-EDAM CHEESE,93,103.95,74.339
19-Feb,CHEESA FLAVOR CHELI,78.65,85.95,9.673
19-Feb,LHEMY PLAIN BF LNCHON,62,63.75,103.226
19-Feb,MUFFIN X6,12.548,24.95,30
19-Feb,DATES SOFT 550G PVC EL TAHAN,25,31.95,30
19-Feb,PISTACHIOS SMOKED FLAVOR,359.963,479.95,1.431
19-Feb,BASIL ITALIAN 100GR,7.4,7.95,1
19-Feb,FAT,10,19.95,4.105
19-Feb,TUNA FISH,30,44.95,33.409
19-Feb,KOKI LIVER-GIZZARD 500GR,18.5,20,98
19-Feb,IM BEEF RIBS,105,136.95,25.544
19-Feb,CIMIT BREAD 250 GR,3.6,5.95,90
19-Feb,IM BEEF FILLET,135,179.95,18.05
19-Feb,FRENCH COFFEE,4.9,11,13
19-Feb,CAKE POUND X2,26.558,49.95,43.919
19-Feb,APPLE CRUMBLE CAKE,20.003,46.95,1
19-Feb,OLIVETTA ONION MIX,24.815,34.95,12.103
19-Feb,DOMTY TALAGA LOW SALT,31.5,39.95,105.52
19-Feb,DATES 600 GM-BET,25,31.95,8
19-Feb,DATE BOX ECONOMY 700GR,18,21.95,24
19-Feb,SHAHD CHICKEN FILLET400GR,41.6,46.95,94
19-Feb,CABBAGE RED,7.25,11.95,56
19-Feb,PASTA TUNA SALAD,12.231,16.95,2
19-Feb,VERMICELLI RICE/KG,10,34.95,164.294
19-Feb,ABA CRANBERRIES,302.599,459.95,0.34
19-Feb,LHEMY OLIVE BF LNCHON,65,84.95,47.482
19-Feb,SMOKED TURKEY SALAD,5.769,8.95,9
19-Feb,FRESH SARDEN FISH,55,69.95,6.957
19-Feb,LEMON GRASS 100GR,6.5,6.75,11
19-Feb,HALWANI BASTERMA,231,289.95,10.102
19-Feb,OLIVETTA EUROPEAN ONIONS TASTE,35.465,49.95,9.45
19-Feb,COOKING TURKEY/KG,9,15.25,30.121
19-Feb,CAKE POUND SLICES,14.095,29.95,66.001
19-Feb,HORECA BARRE CHEESE,266,329.95,2.641
19-Feb,IM BEEF ROAST,107,143.95,20.738
19-Feb,EGYPTION BLACK RAISINS,49.309,74.95,0.068
19-Feb,PACKET BOUKSOMAT SESAME LARGE,12.87,20,40
19-Feb,MEATBALLS/KG,53.25,80.75,1.152
19-Feb,TOMATO 1KG,7.5,9.75,26
19-Feb,TEA BREAKFAST,1.75,5,243
19-Feb,CHICKEN DRUMSTICK/KG,53,58.95,1.612
19-Feb,ETOILE HALWA MOLOD 46,114.474,150,18
19-Feb,RED PEPPER,29.963,39.95,15.196
19-Feb,CHEESA EDAM CHEESE,90,104.95,50.166
19-Feb,KIRI CHEESE OLIVE,43,50.95,12.255
19-Feb,MESH,23.5,29.95,9.066
19-Feb,OLIVETTA MOROCCAN OLIVE MELTED,112.855,158.95,2.05
19-Feb,DOMTY FETA,29.8,33.95,24.474
19-Feb,ZUCCHINI GRADE A 750GR,10.5,15.95,5
19-Feb,A-RAISIN RED,42,52.95,77.205
19-Feb,HOMMOS SALAD,9.88,13.95,3
19-Feb,DEFROSTED SHRIMP 80-100,115,139.95,4.905
19-Feb,QUARTER GRILLED CHICKEN,16.25,23.25,151
19-Feb,A-ONION PICKLING,5.5,6.95,11.381
19-Feb,FRICO GOUDA MAASDAM,125,149.95,11.282
19-Feb,CHOCOLATE GOFRET BISCUIT,56,99.95,2.965
19-Feb,PRETZELS ABA,29.963,39.95,3.308
19-Feb,ISIS DATE WITH OUT STONE 250GR,12.5,16.95,48
19-Feb,DEFR. SHRIMP 40-50,165,184.95,6.787
19-Feb,DILL 50GR,0.85,1.45,198
19-Feb,STONE CORIANDER,28.463,37.95,7.844
19-Feb,PIZZA MUSHROOM STUFFED CRUST,8.4,19,3
19-Feb,ABA ROASTED HAZELNUT,210.493,319.95,0.8
19-Feb,JILI FRUIT DELIGHTS,36.151,54.95,3.71
19-Feb,QUICK COOKING OATS KG,26.213,34.95,17.152
19-Feb,CINNAMON STICKS,149.963,199.95,4.34
19-Feb,OLIVETTA BOLIVEE,21.265,29.95,72.489
19-Feb,N.MEDIUM FINO,0.95,1.3,2566
19-Feb,OLIVETTA S M RED,16.295,22.95,23.037
19-Feb,A- CANTALOUPE,13,14.95,63.698
19-Feb,CAKE POUND PLAIN,12.871,20,145.197
19-Feb,ICE CREAM STRAWBERRY SAUCE,2.05,6,4
19-Feb,PINEAPPLE,45,47.95,52
19-Feb,HERRING SUPER JUMBO KG,29,30,1021.793
19-Feb,FRENCH CELERY PCS,6,6.95,7
19-Feb,EGG SANDWICH,2.32,4,120
19-Feb,IM BEEF RUMP,107,143.95,20.019
19-Feb,ASSORTED STUFFED VEGETABLE/KG,29,46.45,71.187
19-Feb,COKE 400 ML,2.29,6,5
19-Feb,DEFROSTED CLEAN SHRIMPS 40-60,180,199.95,5.572
19-Feb,DATES 300 GM-BET,13,16.95,19
19-Feb,MERAI PLAIN BF LNCHON SANZANA,60,74.95,0.517
19-Feb,LEMON BALADY 1KG,12.8,15.95,5
19-Feb,PETIT CAKE 8,46.164,74.95,4
19-Feb,N.BROWN BAGUETTE,4.25,6.95,145
19-Feb,7-SPICES,56.213,74.95,16.672
19-Feb,BASSBOUSSA BY KG,21.945,51.45,49.675
19-Feb,N.BROWN LONG FINO,1.25,1.75,1878
19-Feb,DEFR. SHRIMP 50-60,145,169.95,97.991
19-Feb,A-KIWI BY KG,19.95,20,599.082
19-Feb,ATYAB ROAST TURKEY,143,164.95,0.232
19-Feb,FREEZ KIWI DRINK 275,18.749,25,1
19-Feb,STAFF MEAL 1/4CHK+RICE+VEG,20,11.95,879
19-Feb,BAL WHOLE LAMB,127,149.95,2.375
19-Feb,ABA PINE KERNELS,1249.967,1899.95,0.09
19-Feb,GOAT CHEESE,270,324.95,4.068
19-Feb,CRUSHED BEANS SAMO,19.463,25.95,7.392
19-Feb,CORIANDER 50GR,0.85,1.45,117
19-Feb,OLIVETTA KLAMATA OLIVE SPARTA GREEK,113.564,159.95,16.237
19-Feb,DONUTS ASSORTED X10,20.496,45,1
19-Feb,HALAWA PLAIN,33,39.95,40.495
19-Feb,STRAWBERRY 250GR,5.45,6.95,24
19-Feb,POTATO SWEET BEUROGARD,4.5,5.75,0.25
19-Feb,TAHINA SALAD,3.469,6.95,55
19-Feb,DEFR SALMON STEAK,256,289.95,4.579
19-Feb,FRGLO PLAIN CHCKEN LNCHON,80.25,89.95,1.014
19-Feb,KASHCAVAL COW CHEESE WITH RED PEPPE,259.25,324.95,0.375
19-Feb,CHOCOLATE MIXED SPECIAL,54,89.95,0.86
19-Feb,MANGO ANANAS,24.25,31.95,1.578
19-Feb,BAL BEEF RUMP,127.79,157.95,7.771
19-Feb,MARJORAM 100GR,3,3.75,2
19-Feb,A-POTATO FOR COOKING,7.9,9.95,441.112
19-Feb,MINEN DATE KG,13.902,39.95,1.816
19-Feb,EGGPLANT SANDWICH,0.86,4,28
19-Feb,SYRIAN THYME,37.463,49.95,18.684
19-Feb,MEDIUM MULLET(3PC/K),45,59.95,2.385
19-Feb,STONE BLACK PEPPER,74.963,99.95,20.888
19-Feb,HOT DOG MEXICAN/KG,52,74.75,1.202
19-Feb,DEFROSTED FILLET PINK FISH,49,59.95,0.814
19-Feb,N.RAISIN ROLL,5.25,7.5,247
19-Feb,OLIVETTA DOLCI,28.365,48.95,33.831
19-Feb,OLIVETTA ONIONS,23.395,32.95,3.775
19-Feb,HALAWA ALMOLED CARTON 2 KG,64,80,2
19-Feb,SHAHD LIVER-GIZZARD 500GR,24.75,29.95,120
19-Feb,BROWN MED FINO X10,5.329,12.95,3
19-Feb,A- GRAPEFRUIT WHITE,4.5,6.95,40.204
19-Feb,LADYBIRD DANABLUE,220,259.95,2.837
19-Feb,ORANGE NAVEL NET 3KG,15.75,21.95,1
19-Feb,PATTON SALE,18.501,59.95,0.872
19-Feb,BEEF KOFTA,82,100,31.278
19-Feb,DATES SOFT CHOCOLATE 250 G,20,24.95,16
19-Feb,A- ORANGE NAVEL,3.45,3.33,2537.572
19-Feb,CLEMNES BLUE CHEESE,161,194.95,3.812
19-Feb,SARDINE DEFROSTED,18.5,20,14.53
19-Feb,VIENNA MINI X5,3.921,7.95,1
19-Feb,DEFROSTED FILLET RED FISH,48.5,59.95,4.909
19-Feb,TOAST WHITE 500GR,5.114,12.95,49.293
19-Feb,EGG&BASTERMA SANDWICH,3.2,6,8
19-Feb,VANILLA MOUSSE SMALL,7.75,14.95,51
19-Feb,DEFR. SHRIMP 60-80,137,159.95,6.452
19-Feb,ABA SHAMAR,26.213,34.95,3.993
19-Feb,HEART CAKE BIG,103.751,199.95,1
19-Feb,ICE CREAM FRUIT,2.55,6,11
19-Feb,COFFEE WITH MILK,3.9,7,239
19-Feb,STUFFED ZUCCHINI/KG,22.5,39.95,4.064
19-Feb,MAFA LEMON BANZHIR PUNNET 500GR,8.95,10.95,1
19-Feb,ABA COCONUT,62.467,94.95,9.85
19-Feb,MUFFIN X 2,3.654,9,277
19-Feb,WHITE FOREST 10 PERSON,81.578,135.95,2
19-Feb,EGYPTIAN BANANA PREMUIM,7.95,9.45,0.604
19-Feb,LATOGA GREEN,5.25,6.95,5
19-Feb,PACKET BISCUIT COFFEE,19.058,24.95,6
19-Feb,KASHCAVALCOW CHEESE WITH CUMIN,259.25,324.95,0.224
19-Feb,APPLE EUROPE PACKED,18.95,23.95,2.106
19-Feb,COKE 600 ML,3.283,8,1
19-Feb,PIZZA CHICKEN HALF COOK,18.165,24.95,22
19-Feb,MORTA,32,29.95,6.841
19-Feb,N.SMALL FETEER,5.95,7.95,152
19-Feb,ABA MIX,407.862,619.95,1.509
19-Feb,SABEEL SHISH 700GR,61.75,72.95,9
19-Feb,STARCH,11.963,15.95,13.977
19-Feb,MANGO FRESH SLICES,27.7,38.95,3
19-Feb,A-POMEGRANATE,8.25,9.95,249.695
19-Feb,ROMY EXTRA CHEESE,88,96.95,50.833
19-Feb,A- ONION GOLDEN,8.5,8.95,177.104
19-Feb,WHOLE CHICKEN HERBS,52,57.95,29.757
19-Feb,MERINGUE KG,29.999,80,121.252
19-Feb,XP ICEBERG,2,3.45,36
19-Feb,CHARD 100GR,2.75,3.95,13
19-Feb,FRENCH FRIES/PC,5,7.95,66
19-Feb,PARSLEY 50GR,0.75,1,283
19-Feb,AVANTI CHILI CHEDDAR,86,98.95,0.258
19-Feb,FRICO GOUDA CHEESE,120,144.95,20.476
19-Feb,STRAWBERRY,9,10,16.7
19-Feb,DOMTY SOFT ISTAMBOLY,30,33.95,7.335
19-Feb,HALWANI BASTRAMI TRKEY SMOKED,138,160.95,3.972
19-Feb,SHAWERMA SPICES,59.963,79.95,2.014
19-Feb,ABA FANKOOSH,22.463,29.95,7.575
19-Feb,A-APPLE RED,19.9,18.95,553.594
19-Feb,TOMATO PLUM,12,12.95,45
19-Feb,WHITE ALOMDS 1 KG,263.125,399.95,0.072
19-Feb,HALAYEB CHEESE ISTAMBOLY,21.21,29.95,4.125
19-Feb,MIX BREAKFAST SAND.,2.5,5,1165
19-Feb,BAGUETTE MINI X10,4.378,9.95,110.793
19-Feb,A-TARO,7,8.95,68.461
19-Feb,IMPORT TRKEY STRIPS SMOKED,260,294.95,0.039
19-Feb,POTATO BABY NET 1KG,5.75,6.75,0.161
19-Feb,COATED PEANUTS WITH KETCHUP FLAVOR0,36.035,51.95,0.063
19-Feb,SMOKED CHICKEN BREAST TANDAORY,130,150.95,0.989
19-Feb,KAHK PLAIN 1KG VENUS,60.9,84.95,1
19-Feb,PIZZA MUSHROOM,6.668,15,1
19-Feb,JUMBO CARDAMOM,412.463,549.95,1.87
19-Feb,TOMEYA SALAD,5.343,8.95,3
19-Feb,MASH POTATO SANDWICH.,1.6,3,25
19-Feb,FISH SPICES,59.963,79.95,8.815
19-Feb,GOUDA CHEESE 051,130.001,164.95,27.205
19-Feb,RICH BEFF MINCE LOW FAT 450 GR,37.5,39.95,40
19-Feb,POWDER GARLIC,41.213,54.95,24.439
19-Feb,BROWN ROLL X5,2.215,5.45,111
19-Feb,FILLET TILAPIA,90,99.95,17.238
19-Feb,TOMATO CHERRY 250GR,6.75,9.95,17
19-Feb,ORANGE BISCUITS PACKET,17.05,24.95,1
19-Feb,FOUL SANDWICH,1.7,3,375
19-Feb,FLAT BREAD 250 GR,2.25,6.95,47
19-Feb,ABA HAZELNUT,180.888,274.95,2.733
19-Feb,BAL LAMB SHOULDER,122,162.95,4.31
19-Feb,A- BANANA IMPORTED LONG,25.5,25.5,306.024
19-Feb,KASHCAVAL COW CHEESE WITH HERBS,259.25,324.95,0.614
19-Feb,SABEEL FILLET 1KG,86.5,94.95,110
19-Feb,ETOILE HALWA MOLOD 47,160.263,210,27
19-Feb,EXPRESSO,5,10,9
19-Feb,CREAM CARAMEL SMALL,5.98,12.95,4
19-Feb,CELERY CUTTING100GR,5,5.95,9
19-Feb,NABAT BABY GREENS REMIX 125G,28.6,32.95,9
19-Feb,ISIS DATE W-STONE 900GR,47.5,59.95,18
19-Feb,FRISEE,7,7.95,5
19-Feb,ONION GOLDEN 5KG,38,42.95,3
19-Feb,CAPSICUM MIXED 500GR,9.25,12.95,14
19-Feb,DATES WITH ALMOND 250 GM (KARTON),20,28.95,13
19-Feb,PETIT CAKE X 4,20.511,34.95,89
19-Feb,FRUIT CREAM 8 PERSONS,77.603,135.95,17
19-Feb,ABA PRUNES,98.651,149.95,10.098
19-Feb,CHICKEN LEG MARINATED,43,47.95,112.903
19-Feb,NABAT KALE NERO 100G,26.7,31.95,2
19-Feb,ANISE HOT DRINK,2.2,7,4
19-Feb,STRAWBERRY PACKE 750 GM,15,16.95,119
19-Feb,ABA WHEAT ( BELEELA ),8.963,11.95,22.665
19-Feb,QUARTER CHICKEN MEAL,21.053,31.95,412
19-Feb,ABA CASHEW CHEESE FLAVOR,319.046,484.95,0.725
19-Feb,A-DATE IRAQI,25,28.95,341.464
19-Feb,DATES KSA ROTHANA 500 GM,35,43.95,2
19-Feb,SPECIAL BLEND COFFEE,146.213,194.95,2.901
19-Feb,OLIVETTA MIXED OLI,35.465,49.95,0.64
19-Feb,FRENCH DEJEUNETTE X4,4.378,9.95,36
19-Feb,NOGA WITH NUTS,55,89.95,4.755
19-Feb,PACKET BOUKSOMAT BLACK SEED SMALL,7.508,9.95,11
19-Feb,CHICKEN FILLET GRILLED SAND,10.8,26,3
